"","X","POBP","SEX","AGEP","count","cont","lon","lat"
"49",49,"Albania","male","very young",43,"EUROPE",19.7278308868408,42.634521484375
"50",50,"Albania","male","young",119,"EUROPE",20.3111324310303,39.9794425964355
"51",51,"Albania","male","middle",103,"EUROPE",20.7178707122803,40.2926750183105
"52",52,"Albania","male","old",50,"EUROPE",19.4651374816895,42.4153823852539
"53",53,"Albania","male","very old",12,"EUROPE",20.4486331939697,41.5212898254395
"54",54,"Albania","female","very young",41,"EUROPE",20.7408199310303,40.9052734375
"55",55,"Albania","female","young",133,"EUROPE",19.5445308685303,42.491943359375
"56",56,"Albania","female","middle",108,"EUROPE",19.4973621368408,41.5626945495605
"57",57,"Albania","female","old",35,"EUROPE",21.0310535430908,40.6586418151855
"58",58,"Albania","female","very old",22,"EUROPE",19.7034187316895,42.64794921875
"59",59,"Austria","male","very young",13,"EUROPE",13.8340821266174,47.2415294647217
"60",60,"Austria","male","young",36,"EUROPE",13.8678712844849,47.6087398529053
"61",61,"Austria","male","middle",39,"EUROPE",10.5799808502197,47.1193618774414
"62",62,"Austria","male","old",125,"EUROPE",14.7384767532349,47.3756103515625
"63",63,"Austria","male","very old",51,"EUROPE",13.3674802780151,48.1359119415283
"64",64,"Austria","female","very young",9,"EUROPE",14.0999507904053,47.2106189727783
"65",65,"Austria","female","young",40,"EUROPE",10.91064453125,47.1199703216553
"66",66,"Austria","female","middle",52,"EUROPE",13.827392578125,47.4065685272217
"67",67,"Austria","female","old",146,"EUROPE",13.159423828125,47.7261219024658
"68",68,"Austria","female","very old",92,"EUROPE",15.7636709213257,48.1543197631836
"69",69,"Belgium","male","very young",22,"EUROPE",4.54501962661743,49.9602546691895
"70",70,"Belgium","male","young",60,"EUROPE",2.59677720069885,50.8759269714355
"71",71,"Belgium","male","middle",49,"EUROPE",5.27880859375,49.6779289245605
"72",72,"Belgium","male","old",50,"EUROPE",2.59677720069885,50.8759269714355
"73",73,"Belgium","male","very old",18,"EUROPE",5.31083965301514,51.2597160339355
"74",74,"Belgium","female","very young",30,"EUROPE",2.86240243911743,50.7160148620605
"75",75,"Belgium","female","young",45,"EUROPE",3.47197222709656,51.2422370910645
