"","ST","POBP","count","location","country","region"
"1",1,102,7,"AL","Austria","EUROPE"
"2",1,103,1,"AL","Belgium","EUROPE"
"3",1,104,2,"AL","Bulgaria","EUROPE"
"4",1,105,1,"AL","Czechoslovakia",NA
"5",1,109,6,"AL","France","EUROPE"
"6",1,110,68,"AL","Germany","EUROPE"
"7",1,116,8,"AL","Greece","EUROPE"
"8",1,117,1,"AL","Hungary","EUROPE"
"9",1,118,1,"AL","Iceland","EUROPE"
"10",1,120,6,"AL","Italy","EUROPE"
"11",1,126,4,"AL","Netherlands","EUROPE"
"12",1,127,1,"AL","Norway","EUROPE"
"13",1,128,10,"AL","Poland","EUROPE"
"14",1,129,1,"AL","Portugal","EUROPE"
"15",1,132,4,"AL","Romania","EUROPE"
"16",1,134,3,"AL","Spain","EUROPE"
"17",1,137,1,"AL","Switzerland","EUROPE"
"18",1,138,11,"AL","UnitedKingdom","EUROPE"
"19",1,139,31,"AL","England","EUROPE"
"20",1,140,3,"AL","Scotland","EUROPE"
"21",1,148,1,"AL","CzechRepublic","EUROPE"
"22",1,151,1,"AL","Croatia","EUROPE"
"23",1,156,3,"AL","Latvia","EUROPE"
"24",1,157,1,"AL","Lithuania","EUROPE"
"25",1,162,1,"AL","Moldova","EUROPE"
"26",1,163,21,"AL","Russia",NA
"27",1,164,9,"AL","Ukraine","EUROPE"
"28",1,202,11,"AL","Bangladesh","ASIA"
"29",1,205,1,"AL","Myanmar",NA
"30",1,206,1,"AL","Cambodia","ASIA"
"31",1,207,89,"AL","China","ASIA"
"32",1,209,1,"AL","HongKong","ASIA"
"33",1,210,80,"AL","India","ASIA"
"34",1,211,4,"AL","Indonesia","ASIA"
"35",1,212,6,"AL","Iran","ASIA"
"36",1,213,1,"AL","Iraq","ASIA"
"37",1,214,1,"AL","Israel","ASIA"
"38",1,215,8,"AL","Japan","ASIA"
"39",1,216,1,"AL","Jordan","ASIA"
"40",1,217,52,"AL","Korea",NA
"41",1,222,1,"AL","Kuwait","ASIA"
"42",1,223,4,"AL","Laos","ASIA"
"43",1,224,6,"AL","Lebanon","ASIA"
"44",1,226,3,"AL","Malaysia","ASIA"
"45",1,229,1,"AL","Nepal","ASIA"
"46",1,231,12,"AL","Pakistan","ASIA"
"47",1,233,47,"AL","Philippines","ASIA"
"48",1,235,3,"AL","SaudiArabia","ASIA"
"49",1,236,1,"AL","Singapore","ASIA"
"50",1,240,6,"AL","Taiwan","ASIA"
"51",1,242,11,"AL","Thailand","ASIA"
"52",1,243,4,"AL","Turkey","ASIA"
"53",1,247,48,"AL","Vietnam","ASIA"
"54",1,248,2,"AL","Yemen","ASIA"
"55",1,249,2,"AL","Asia",NA
"56",1,253,2,"AL","SouthCentralAsia",NA
"57",1,301,35,"AL","Canada","AMERICA"
"58",1,303,291,"AL","Mexico","AMERICA"
"59",1,310,2,"AL","Belize","AMERICA"
"60",1,311,8,"AL","CostaRica","AMERICA"
"61",1,312,4,"AL","ElSalvador","AMERICA"
"62",1,313,44,"AL","Guatemala","AMERICA"
"63",1,314,12,"AL","Honduras","AMERICA"
"64",1,315,5,"AL","Nicaragua","AMERICA"
"65",1,316,13,"AL","Panama","AMERICA"
"66",1,323,6,"AL","Bahamas","AMERICA"
"67",1,324,2,"AL","Barbados","AMERICA"
"68",1,327,7,"AL","Cuba","AMERICA"
"69",1,328,2,"AL","Dominica","AMERICA"
"70",1,329,4,"AL","DominicanRepublic","AMERICA"
"71",1,332,6,"AL","Haiti","AMERICA"
"72",1,333,19,"AL","Jamaica","AMERICA"
"73",1,340,4,"AL","St.Vincent",NA
"74",1,341,7,"AL","Trinidad",NA
"75",1,343,1,"AL","WestIndies",NA
"76",1,344,2,"AL","Caribbean",NA
"77",1,360,3,"AL","Argentina","AMERICA"
"78",1,361,1,"AL","Bolivia","AMERICA"
"79",1,362,8,"AL","Brazil","AMERICA"
"80",1,364,20,"AL","Colombia","AMERICA"
"81",1,365,1,"AL","Ecuador","AMERICA"
"82",1,368,4,"AL","Guyana","AMERICA"
"83",1,370,4,"AL","Peru","AMERICA"
"84",1,372,1,"AL","Uruguay","AMERICA"
"85",1,373,9,"AL","Venezuela","AMERICA"
"86",1,374,2,"AL","SouthAmerica",NA
"87",1,400,1,"AL","Algeria","AFRICA"
"88",1,414,7,"AL","Egypt","AFRICA"
"89",1,420,2,"AL","Gambia","AFRICA"
"90",1,427,7,"AL","Kenya","AFRICA"
"91",1,429,9,"AL","Liberia","AFRICA"
"92",1,436,5,"AL","Morocco","AFRICA"
"93",1,440,9,"AL","Nigeria","AFRICA"
"94",1,447,2,"AL","SierraLeone","AFRICA"
"95",1,449,2,"AL","SouthAfrica","AFRICA"
"96",1,451,3,"AL","Sudan","AFRICA"
"97",1,453,4,"AL","Tanzania","AFRICA"
"98",1,454,1,"AL","Togo","AFRICA"
"99",1,459,1,"AL","DemocraticRepublicofCongo",NA
"100",1,460,2,"AL","Zambia","AFRICA"
"101",1,462,5,"AL","Africa",NA
"102",1,463,1,"AL","EasternAfrica",NA
"103",1,464,1,"AL","NorthernAfrica",NA
"104",1,467,1,"AL","WesternAfrica",NA
"105",1,501,5,"AL","Australia","OCEANIA"
"106",1,508,2,"AL","Fiji","OCEANIA"
"107",1,511,2,"AL","MarshallIslands","OCEANIA"
"108",2,102,2,"AK","Austria","EUROPE"
"109",2,106,1,"AK","Denmark","EUROPE"
"110",2,108,2,"AK","Finland","EUROPE"
"111",2,109,4,"AK","France","EUROPE"
"112",2,110,13,"AK","Germany","EUROPE"
"113",2,116,1,"AK","Greece","EUROPE"
"114",2,117,2,"AK","Hungary","EUROPE"
"115",2,120,3,"AK","Italy","EUROPE"
"116",2,127,5,"AK","Norway","EUROPE"
"117",2,132,2,"AK","Romania","EUROPE"
"118",2,134,2,"AK","Spain","EUROPE"
"119",2,137,1,"AK","Switzerland","EUROPE"
"120",2,138,3,"AK","UnitedKingdom","EUROPE"
"121",2,139,3,"AK","England","EUROPE"
"122",2,140,1,"AK","Scotland","EUROPE"
"123",2,152,1,"AK","Macedonia","EUROPE"
"124",2,160,2,"AK","Belarus","EUROPE"
"125",2,163,1,"AK","Russia",NA
"126",2,164,4,"AK","Ukraine","EUROPE"
"127",2,206,1,"AK","Cambodia","ASIA"
"128",2,207,3,"AK","China","ASIA"
"129",2,209,1,"AK","HongKong","ASIA"
"130",2,210,3,"AK","India","ASIA"
"131",2,215,5,"AK","Japan","ASIA"
"132",2,217,21,"AK","Korea",NA
"133",2,223,1,"AK","Laos","ASIA"
"134",2,224,2,"AK","Lebanon","ASIA"
"135",2,231,1,"AK","Pakistan","ASIA"
"136",2,233,122,"AK","Philippines","ASIA"
"137",2,240,2,"AK","Taiwan","ASIA"
"138",2,242,6,"AK","Thailand","ASIA"
"139",2,243,2,"AK","Turkey","ASIA"
"140",2,247,4,"AK","Vietnam","ASIA"
"141",2,253,1,"AK","SouthCentralAsia",NA
"142",2,301,23,"AK","Canada","AMERICA"
"143",2,303,16,"AK","Mexico","AMERICA"
"144",2,310,1,"AK","Belize","AMERICA"
"145",2,312,5,"AK","ElSalvador","AMERICA"
"146",2,313,1,"AK","Guatemala","AMERICA"
"147",2,314,1,"AK","Honduras","AMERICA"
"148",2,327,2,"AK","Cuba","AMERICA"
"149",2,328,1,"AK","Dominica","AMERICA"
"150",2,330,1,"AK","Grenada","AMERICA"
"151",2,332,3,"AK","Haiti","AMERICA"
"152",2,333,2,"AK","Jamaica","AMERICA"
"153",2,341,1,"AK","Trinidad",NA
"154",2,362,6,"AK","Brazil","AMERICA"
"155",2,363,1,"AK","Chile","AMERICA"
"156",2,364,2,"AK","Colombia","AMERICA"
"157",2,370,1,"AK","Peru","AMERICA"
"158",2,407,2,"AK","Cameroon","AFRICA"
"159",2,416,4,"AK","Ethiopia","AFRICA"
