"","ST","POBP","count","location","country","region"
"160",2,448,4,"AK","Somalia","AFRICA"
"161",2,462,2,"AK","Africa",NA
"162",2,501,3,"AK","Australia","OCEANIA"
"163",2,512,2,"AK","Micronesia","OCEANIA"
"164",4,102,10,"AZ","Austria","EUROPE"
"165",4,103,4,"AZ","Belgium","EUROPE"
"166",4,104,13,"AZ","Bulgaria","EUROPE"
"167",4,105,3,"AZ","Czechoslovakia",NA
"168",4,106,9,"AZ","Denmark","EUROPE"
"169",4,108,2,"AZ","Finland","EUROPE"
"170",4,109,28,"AZ","France","EUROPE"
"171",4,110,171,"AZ","Germany","EUROPE"
"172",4,116,11,"AZ","Greece","EUROPE"
"173",4,117,25,"AZ","Hungary","EUROPE"
"174",4,119,25,"AZ","Ireland","EUROPE"
"175",4,120,39,"AZ","Italy","EUROPE"
"176",4,126,31,"AZ","Netherlands","EUROPE"
"177",4,127,2,"AZ","Norway","EUROPE"
"178",4,128,55,"AZ","Poland","EUROPE"
"179",4,129,13,"AZ","Portugal","EUROPE"
"180",4,132,47,"AZ","Romania","EUROPE"
"181",4,134,15,"AZ","Spain","EUROPE"
"182",4,136,11,"AZ","Sweden","EUROPE"
"183",4,137,17,"AZ","Switzerland","EUROPE"
"184",4,138,62,"AZ","UnitedKingdom","EUROPE"
"185",4,139,88,"AZ","England","EUROPE"
"186",4,140,21,"AZ","Scotland","EUROPE"
"187",4,147,9,"AZ","Yugoslavia","EUROPE"
"188",4,148,10,"AZ","CzechRepublic","EUROPE"
"189",4,149,2,"AZ","Slovakia","EUROPE"
"190",4,150,24,"AZ","BosniaandHerzegovina",NA
"191",4,151,7,"AZ","Croatia","EUROPE"
"192",4,152,2,"AZ","Macedonia","EUROPE"
"193",4,154,13,"AZ","Serbia","EUROPE"
"194",4,156,5,"AZ","Latvia","EUROPE"
"195",4,157,6,"AZ","Lithuania","EUROPE"
"196",4,158,3,"AZ","Armenia","EUROPE"
"197",4,159,3,"AZ","Azerbaijan","EUROPE"
"198",4,160,2,"AZ","Belarus","EUROPE"
"199",4,161,1,"AZ","Georgia","EUROPE"
"200",4,162,2,"AZ","Moldova","EUROPE"
"201",4,163,34,"AZ","Russia",NA
"202",4,164,21,"AZ","Ukraine","EUROPE"
"203",4,165,4,"AZ","USSR",NA
"204",4,168,1,"AZ","Montenegro","EUROPE"
"205",4,169,6,"AZ","OtherEurope",NA
"206",4,200,8,"AZ","Afghanistan","ASIA"
"207",4,202,15,"AZ","Bangladesh","ASIA"
"208",4,203,2,"AZ","Bhutan","ASIA"
"209",4,205,14,"AZ","Myanmar",NA
"210",4,206,22,"AZ","Cambodia","ASIA"
"211",4,207,148,"AZ","China","ASIA"
"212",4,208,3,"AZ","Cyprus","EUROPE"
"213",4,209,22,"AZ","HongKong","ASIA"
"214",4,210,289,"AZ","India","ASIA"
"215",4,211,15,"AZ","Indonesia","ASIA"
"216",4,212,33,"AZ","Iran","ASIA"
"217",4,213,72,"AZ","Iraq","ASIA"
"218",4,214,19,"AZ","Israel","ASIA"
"219",4,215,72,"AZ","Japan","ASIA"
"220",4,216,13,"AZ","Jordan","ASIA"
"221",4,217,122,"AZ","Korea",NA
"222",4,218,9,"AZ","Kazakhstan","ASIA"
"223",4,222,10,"AZ","Kuwait","ASIA"
"224",4,223,15,"AZ","Laos","ASIA"
"225",4,224,14,"AZ","Lebanon","ASIA"
"226",4,226,14,"AZ","Malaysia","ASIA"
"227",4,229,11,"AZ","Nepal","ASIA"
"228",4,231,14,"AZ","Pakistan","ASIA"
"229",4,233,287,"AZ","Philippines","ASIA"
"230",4,235,13,"AZ","SaudiArabia","ASIA"
"231",4,236,7,"AZ","Singapore","ASIA"
"232",4,238,2,"AZ","SriLanka","ASIA"
"233",4,239,19,"AZ","Syria","ASIA"
"234",4,240,46,"AZ","Taiwan","ASIA"
"235",4,242,38,"AZ","Thailand","ASIA"
"236",4,243,11,"AZ","Turkey","ASIA"
"237",4,245,1,"AZ","UnitedArabEmirates",NA
"238",4,246,15,"AZ","Uzbekistan","ASIA"
"239",4,247,162,"AZ","Vietnam","ASIA"
"240",4,248,2,"AZ","Yemen","ASIA"
"241",4,249,13,"AZ","Asia",NA
"242",4,254,3,"AZ","OtherAsia",NA
"243",4,300,1,"AZ","Bermuda",NA
"244",4,301,507,"AZ","Canada","AMERICA"
"245",4,303,4095,"AZ","Mexico","AMERICA"
"246",4,310,4,"AZ","Belize","AMERICA"
"247",4,311,6,"AZ","CostaRica","AMERICA"
"248",4,312,67,"AZ","ElSalvador","AMERICA"
"249",4,313,123,"AZ","Guatemala","AMERICA"
"250",4,314,40,"AZ","Honduras","AMERICA"
"251",4,315,12,"AZ","Nicaragua","AMERICA"
"252",4,316,13,"AZ","Panama","AMERICA"
"253",4,324,4,"AZ","Barbados","AMERICA"
"254",4,327,53,"AZ","Cuba","AMERICA"
"255",4,329,12,"AZ","DominicanRepublic","AMERICA"
"256",4,332,1,"AZ","Haiti","AMERICA"
"257",4,333,13,"AZ","Jamaica","AMERICA"
"258",4,341,5,"AZ","Trinidad",NA
"259",4,343,3,"AZ","WestIndies",NA
"260",4,360,14,"AZ","Argentina","AMERICA"
"261",4,361,6,"AZ","Bolivia","AMERICA"
"262",4,362,28,"AZ","Brazil","AMERICA"
"263",4,363,6,"AZ","Chile","AMERICA"
"264",4,364,42,"AZ","Colombia","AMERICA"
"265",4,365,15,"AZ","Ecuador","AMERICA"
"266",4,368,3,"AZ","Guyana","AMERICA"
"267",4,370,33,"AZ","Peru","AMERICA"
"268",4,372,7,"AZ","Uruguay","AMERICA"
"269",4,373,7,"AZ","Venezuela","AMERICA"
"270",4,399,2,"AZ","Americas",NA
"271",4,400,3,"AZ","Algeria","AFRICA"
"272",4,407,12,"AZ","Cameroon","AFRICA"
"273",4,412,2,"AZ","Congo","AFRICA"
"274",4,414,15,"AZ","Egypt","AFRICA"
"275",4,416,27,"AZ","Ethiopia","AFRICA"
"276",4,417,7,"AZ","Eritrea","AFRICA"
"277",4,421,3,"AZ","Ghana","AFRICA"
"278",4,427,16,"AZ","Kenya","AFRICA"
"279",4,429,1,"AZ","Liberia","AFRICA"
"280",4,430,3,"AZ","Libya","AFRICA"
"281",4,436,7,"AZ","Morocco","AFRICA"
"282",4,440,17,"AZ","Nigeria","AFRICA"
"283",4,447,3,"AZ","SierraLeone","AFRICA"
"284",4,448,13,"AZ","Somalia","AFRICA"
"285",4,449,24,"AZ","SouthAfrica","AFRICA"
"286",4,451,18,"AZ","Sudan","AFRICA"
"287",4,453,2,"AZ","Tanzania","AFRICA"
"288",4,457,2,"AZ","Uganda","AFRICA"
"289",4,460,5,"AZ","Zambia","AFRICA"
"290",4,461,3,"AZ","Zimbabwe","AFRICA"
"291",4,462,15,"AZ","Africa",NA
"292",4,463,17,"AZ","EasternAfrica",NA
"293",4,464,1,"AZ","NorthernAfrica",NA
"294",4,467,3,"AZ","WesternAfrica",NA
"295",4,468,8,"AZ","OtherAfrica",NA
"296",4,501,18,"AZ","Australia","OCEANIA"
"297",4,508,3,"AZ","Fiji","OCEANIA"
"298",4,511,2,"AZ","MarshallIslands","OCEANIA"
"299",4,512,2,"AZ","Micronesia","OCEANIA"
"300",4,515,8,"AZ","NewZealand","OCEANIA"
"301",4,527,1,"AZ","Samoa","OCEANIA"
"302",5,100,1,"AR","Albania","EUROPE"
"303",5,102,2,"AR","Austria","EUROPE"
"304",5,103,1,"AR","Belgium","EUROPE"
"305",5,104,2,"AR","Bulgaria","EUROPE"
"306",5,105,1,"AR","Czechoslovakia",NA
"307",5,109,2,"AR","France","EUROPE"
"308",5,110,24,"AR","Germany","EUROPE"
"309",5,120,2,"AR","Italy","EUROPE"
"310",5,126,1,"AR","Netherlands","EUROPE"
"311",5,127,2,"AR","Norway","EUROPE"
"312",5,128,1,"AR","Poland","EUROPE"
"313",5,129,1,"AR","Portugal","EUROPE"
"314",5,132,1,"AR","Romania","EUROPE"
"315",5,134,3,"AR","Spain","EUROPE"
"316",5,136,1,"AR","Sweden","EUROPE"
"317",5,138,14,"AR","UnitedKingdom","EUROPE"
"318",5,139,13,"AR","England","EUROPE"
"319",5,140,3,"AR","Scotland","EUROPE"
"320",5,148,4,"AR","CzechRepublic","EUROPE"
"321",5,149,1,"AR","Slovakia","EUROPE"
"322",5,152,1,"AR","Macedonia","EUROPE"
"323",5,154,3,"AR","Serbia","EUROPE"
"324",5,163,4,"AR","Russia",NA
"325",5,164,4,"AR","Ukraine","EUROPE"
"326",5,165,1,"AR","USSR",NA
"327",5,169,1,"AR","OtherEurope",NA
"328",5,202,2,"AR","Bangladesh","ASIA"
"329",5,205,1,"AR","Myanmar",NA
"330",5,206,3,"AR","Cambodia","ASIA"
"331",5,207,41,"AR","China","ASIA"
"332",5,209,1,"AR","HongKong","ASIA"
"333",5,210,63,"AR","India","ASIA"
"334",5,211,3,"AR","Indonesia","ASIA"
"335",5,212,9,"AR","Iran","ASIA"
"336",5,213,2,"AR","Iraq","ASIA"
"337",5,215,7,"AR","Japan","ASIA"
"338",5,217,13,"AR","Korea",NA
"339",5,218,4,"AR","Kazakhstan","ASIA"
"340",5,222,1,"AR","Kuwait","ASIA"
"341",5,223,22,"AR","Laos","ASIA"
"342",5,224,1,"AR","Lebanon","ASIA"
"343",5,226,4,"AR","Malaysia","ASIA"
"344",5,231,7,"AR","Pakistan","ASIA"
"345",5,233,35,"AR","Philippines","ASIA"
"346",5,235,6,"AR","SaudiArabia","ASIA"
"347",5,239,1,"AR","Syria","ASIA"
"348",5,240,3,"AR","Taiwan","ASIA"
"349",5,242,8,"AR","Thailand","ASIA"
"350",5,246,3,"AR","Uzbekistan","ASIA"
"351",5,247,32,"AR","Vietnam","ASIA"
"352",5,248,2,"AR","Yemen","ASIA"
"353",5,301,26,"AR","Canada","AMERICA"
"354",5,303,386,"AR","Mexico","AMERICA"
"355",5,312,53,"AR","ElSalvador","AMERICA"
"356",5,313,18,"AR","Guatemala","AMERICA"
"357",5,314,12,"AR","Honduras","AMERICA"
"358",5,315,11,"AR","Nicaragua","AMERICA"
"359",5,316,4,"AR","Panama","AMERICA"
"360",5,327,4,"AR","Cuba","AMERICA"
"361",5,329,2,"AR","DominicanRepublic","AMERICA"
"362",5,332,1,"AR","Haiti","AMERICA"
"363",5,341,1,"AR","Trinidad",NA
"364",5,360,3,"AR","Argentina","AMERICA"
"365",5,361,1,"AR","Bolivia","AMERICA"
"366",5,362,3,"AR","Brazil","AMERICA"
"367",5,364,6,"AR","Colombia","AMERICA"
"368",5,365,3,"AR","Ecuador","AMERICA"
"369",5,373,3,"AR","Venezuela","AMERICA"
"370",5,414,1,"AR","Egypt","AFRICA"
"371",5,416,5,"AR","Ethiopia","AFRICA"
"372",5,420,1,"AR","Gambia","AFRICA"
"373",5,427,1,"AR","Kenya","AFRICA"
"374",5,440,4,"AR","Nigeria","AFRICA"
"375",5,444,1,"AR","Senegal","AFRICA"
"376",5,449,4,"AR","SouthAfrica","AFRICA"
"377",5,459,1,"AR","DemocraticRepublicofCongo",NA
"378",5,460,1,"AR","Zambia","AFRICA"
"379",5,461,1,"AR","Zimbabwe","AFRICA"
"380",5,463,6,"AR","EasternAfrica",NA
"381",5,468,1,"AR","OtherAfrica",NA
"382",5,511,2,"AR","MarshallIslands","OCEANIA"
"383",5,515,1,"AR","NewZealand","OCEANIA"
"384",6,100,11,"CA","Albania","EUROPE"
"385",6,102,94,"CA","Austria","EUROPE"
"386",6,103,51,"CA","Belgium","EUROPE"
"387",6,104,76,"CA","Bulgaria","EUROPE"
"388",6,105,32,"CA","Czechoslovakia",NA
"389",6,106,86,"CA","Denmark","EUROPE"
"390",6,108,39,"CA","Finland","EUROPE"
"391",6,109,377,"CA","France","EUROPE"
"392",6,110,952,"CA","Germany","EUROPE"
"393",6,116,130,"CA","Greece","EUROPE"
"394",6,117,137,"CA","Hungary","EUROPE"
"395",6,118,6,"CA","Iceland","EUROPE"
"396",6,119,192,"CA","Ireland","EUROPE"
"397",6,120,373,"CA","Italy","EUROPE"
"398",6,126,229,"CA","Netherlands","EUROPE"
"399",6,127,58,"CA","Norway","EUROPE"
"400",6,128,225,"CA","Poland","EUROPE"
"401",6,129,237,"CA","Portugal","EUROPE"
"402",6,130,54,"CA","AzoresIslands",NA
"403",6,132,236,"CA","Romania","EUROPE"
"404",6,134,148,"CA","Spain","EUROPE"
"405",6,136,125,"CA","Sweden","EUROPE"
"406",6,137,100,"CA","Switzerland","EUROPE"
"407",6,138,644,"CA","UnitedKingdom","EUROPE"
"408",6,139,702,"CA","England","EUROPE"
"409",6,140,116,"CA","Scotland","EUROPE"
"410",6,147,47,"CA","Yugoslavia","EUROPE"
"411",6,148,70,"CA","CzechRepublic","EUROPE"
"412",6,149,7,"CA","Slovakia","EUROPE"
"413",6,150,59,"CA","BosniaandHerzegovina",NA
"414",6,151,45,"CA","Croatia","EUROPE"
"415",6,152,6,"CA","Macedonia","EUROPE"
"416",6,154,46,"CA","Serbia","EUROPE"
"417",6,156,35,"CA","Latvia","EUROPE"
"418",6,157,38,"CA","Lithuania","EUROPE"
"419",6,158,528,"CA","Armenia","EUROPE"
"420",6,159,59,"CA","Azerbaijan","EUROPE"
"421",6,160,59,"CA","Belarus","EUROPE"
"422",6,161,26,"CA","Georgia","EUROPE"
"423",6,162,71,"CA","Moldova","EUROPE"
"424",6,163,600,"CA","Russia",NA
"425",6,164,496,"CA","Ukraine","EUROPE"
"426",6,165,75,"CA","USSR",NA
"427",6,168,3,"CA","Montenegro","EUROPE"
"428",6,169,88,"CA","OtherEurope",NA
"429",6,200,210,"CA","Afghanistan","ASIA"
"430",6,202,144,"CA","Bangladesh","ASIA"
"431",6,203,2,"CA","Bhutan","ASIA"
"432",6,205,271,"CA","Myanmar",NA
"433",6,206,587,"CA","Cambodia","ASIA"
"434",6,207,5713,"CA","China","ASIA"
"435",6,208,11,"CA","Cyprus","EUROPE"
"436",6,209,1111,"CA","HongKong","ASIA"
"437",6,210,3893,"CA","India","ASIA"
"438",6,211,417,"CA","Indonesia","ASIA"
"439",6,212,1751,"CA","Iran","ASIA"
"440",6,213,362,"CA","Iraq","ASIA"
"441",6,214,307,"CA","Israel","ASIA"
"442",6,215,1144,"CA","Japan","ASIA"
"443",6,216,89,"CA","Jordan","ASIA"
"444",6,217,3162,"CA","Korea",NA
"445",6,218,37,"CA","Kazakhstan","ASIA"
"446",6,222,44,"CA","Kuwait","ASIA"
"447",6,223,547,"CA","Laos","ASIA"
"448",6,224,310,"CA","Lebanon","ASIA"
"449",6,226,177,"CA","Malaysia","ASIA"
"450",6,229,80,"CA","Nepal","ASIA"
"451",6,231,428,"CA","Pakistan","ASIA"
"452",6,233,8559,"CA","Philippines","ASIA"
"453",6,235,80,"CA","SaudiArabia","ASIA"
"454",6,236,97,"CA","Singapore","ASIA"
"455",6,238,138,"CA","SriLanka","ASIA"
"456",6,239,222,"CA","Syria","ASIA"
"457",6,240,1793,"CA","Taiwan","ASIA"
"458",6,242,611,"CA","Thailand","ASIA"
"459",6,243,163,"CA","Turkey","ASIA"
"460",6,245,29,"CA","UnitedArabEmirates",NA
"461",6,246,53,"CA","Uzbekistan","ASIA"
"462",6,247,5557,"CA","Vietnam","ASIA"
"463",6,248,65,"CA","Yemen","ASIA"
"464",6,249,70,"CA","Asia",NA
"465",6,253,17,"CA","SouthCentralAsia",NA
"466",6,254,36,"CA","OtherAsia",NA
"467",6,300,8,"CA","Bermuda",NA
"468",6,301,1482,"CA","Canada","AMERICA"
"469",6,303,37077,"CA","Mexico","AMERICA"
"470",6,310,203,"CA","Belize","AMERICA"
"471",6,311,121,"CA","CostaRica","AMERICA"
"472",6,312,3823,"CA","ElSalvador","AMERICA"
"473",6,313,2398,"CA","Guatemala","AMERICA"
"474",6,314,575,"CA","Honduras","AMERICA"
"475",6,315,600,"CA","Nicaragua","AMERICA"
"476",6,316,101,"CA","Panama","AMERICA"
"477",6,321,1,"CA","Antigua",NA
"478",6,323,5,"CA","Bahamas","AMERICA"
"479",6,324,17,"CA","Barbados","AMERICA"
"480",6,327,364,"CA","Cuba","AMERICA"
"481",6,328,3,"CA","Dominica","AMERICA"
"482",6,329,55,"CA","DominicanRepublic","AMERICA"
"483",6,330,5,"CA","Grenada","AMERICA"
"484",6,332,29,"CA","Haiti","AMERICA"
"485",6,333,131,"CA","Jamaica","AMERICA"
"486",6,339,5,"CA","St.Lucia",NA
"487",6,340,8,"CA","St.Vincent",NA
"488",6,341,87,"CA","Trinidad",NA
"489",6,343,5,"CA","WestIndies",NA
"490",6,344,5,"CA","Caribbean",NA
"491",6,360,312,"CA","Argentina","AMERICA"
"492",6,361,87,"CA","Bolivia","AMERICA"
"493",6,362,320,"CA","Brazil","AMERICA"
"494",6,363,181,"CA","Chile","AMERICA"
"495",6,364,379,"CA","Colombia","AMERICA"
"496",6,365,241,"CA","Ecuador","AMERICA"
"497",6,368,39,"CA","Guyana","AMERICA"
"498",6,369,21,"CA","Paraguay","AMERICA"
"499",6,370,688,"CA","Peru","AMERICA"
"500",6,372,24,"CA","Uruguay","AMERICA"
"501",6,373,86,"CA","Venezuela","AMERICA"
"502",6,374,23,"CA","SouthAmerica",NA
"503",6,399,19,"CA","Americas",NA
"504",6,400,34,"CA","Algeria","AFRICA"
"505",6,407,19,"CA","Cameroon","AFRICA"
"506",6,412,6,"CA","Congo","AFRICA"
"507",6,414,382,"CA","Egypt","AFRICA"
"508",6,416,165,"CA","Ethiopia","AFRICA"
"509",6,417,34,"CA","Eritrea","AFRICA"
"510",6,420,1,"CA","Gambia","AFRICA"
"511",6,421,52,"CA","Ghana","AFRICA"
"512",6,427,118,"CA","Kenya","AFRICA"
"513",6,429,18,"CA","Liberia","AFRICA"
"514",6,430,18,"CA","Libya","AFRICA"
"515",6,436,68,"CA","Morocco","AFRICA"
"516",6,440,192,"CA","Nigeria","AFRICA"
"517",6,444,4,"CA","Senegal","AFRICA"
"518",6,447,16,"CA","SierraLeone","AFRICA"
"519",6,448,29,"CA","Somalia","AFRICA"
"520",6,449,199,"CA","SouthAfrica","AFRICA"
"521",6,451,23,"CA","Sudan","AFRICA"
"522",6,453,20,"CA","Tanzania","AFRICA"
"523",6,457,25,"CA","Uganda","AFRICA"
"524",6,459,3,"CA","DemocraticRepublicofCongo",NA
"525",6,460,12,"CA","Zambia","AFRICA"
"526",6,461,12,"CA","Zimbabwe","AFRICA"
"527",6,462,53,"CA","Africa",NA
"528",6,463,20,"CA","EasternAfrica",NA
"529",6,464,14,"CA","NorthernAfrica",NA
"530",6,467,19,"CA","WesternAfrica",NA
"531",6,468,14,"CA","OtherAfrica",NA
"532",6,501,205,"CA","Australia","OCEANIA"
"533",6,508,303,"CA","Fiji","OCEANIA"
"534",6,511,17,"CA","MarshallIslands","OCEANIA"
"535",6,512,7,"CA","Micronesia","OCEANIA"
"536",6,515,67,"CA","NewZealand","OCEANIA"
"537",6,523,75,"CA","Tonga","OCEANIA"
"538",6,527,26,"CA","Samoa","OCEANIA"
"539",6,554,24,"CA","OtherUSIslandAreas",NA
"540",8,102,16,"CO","Austria","EUROPE"
"541",8,103,2,"CO","Belgium","EUROPE"
"542",8,104,7,"CO","Bulgaria","EUROPE"
"543",8,105,7,"CO","Czechoslovakia",NA
"544",8,106,6,"CO","Denmark","EUROPE"
"545",8,108,4,"CO","Finland","EUROPE"
"546",8,109,35,"CO","France","EUROPE"
"547",8,110,200,"CO","Germany","EUROPE"
"548",8,116,1,"CO","Greece","EUROPE"
"549",8,117,21,"CO","Hungary","EUROPE"
"550",8,119,13,"CO","Ireland","EUROPE"
"551",8,120,15,"CO","Italy","EUROPE"
"552",8,126,22,"CO","Netherlands","EUROPE"
"553",8,127,3,"CO","Norway","EUROPE"
"554",8,128,32,"CO","Poland","EUROPE"
"555",8,129,1,"CO","Portugal","EUROPE"
"556",8,132,19,"CO","Romania","EUROPE"
"557",8,134,8,"CO","Spain","EUROPE"
