"","ST","POBP","count","location","country"
"113",2,116,1,"AK","Greece"
"114",2,117,2,"AK","Hungary"
"115",2,120,3,"AK","Italy"
"116",2,127,5,"AK","Norway"
"117",2,132,2,"AK","Romania"
"118",2,134,2,"AK","Spain"
"119",2,137,1,"AK","Switzerland"
"120",2,138,3,"AK","UnitedKingdom"
"121",2,139,3,"AK","England"
"122",2,140,1,"AK","Scotland"
"123",2,152,1,"AK","Macedonia"
"124",2,160,2,"AK","Belarus"
"125",2,163,1,"AK","Russia"
"126",2,164,4,"AK","Ukraine"
"127",2,206,1,"AK","Cambodia"
"128",2,207,3,"AK","China"
"129",2,209,1,"AK","HongKong"
"130",2,210,3,"AK","India"
"131",2,215,5,"AK","Japan"
"132",2,217,21,"AK","Korea"
"133",2,223,1,"AK","Laos"
"134",2,224,2,"AK","Lebanon"
"135",2,231,1,"AK","Pakistan"
"136",2,233,122,"AK","Philippines"
"137",2,240,2,"AK","Taiwan"
"138",2,242,6,"AK","Thailand"
"139",2,243,2,"AK","Turkey"
"140",2,247,4,"AK","Vietnam"
"141",2,253,1,"AK","SouthCentralAsia"
"142",2,301,23,"AK","Canada"
"143",2,303,16,"AK","Mexico"
"144",2,310,1,"AK","Belize"
"145",2,312,5,"AK","ElSalvador"
"146",2,313,1,"AK","Guatemala"
"147",2,314,1,"AK","Honduras"
"148",2,327,2,"AK","Cuba"
"149",2,328,1,"AK","Dominica"
"150",2,330,1,"AK","Grenada"
"151",2,332,3,"AK","Haiti"
"152",2,333,2,"AK","Jamaica"
"153",2,341,1,"AK","Trinidad"
"154",2,362,6,"AK","Brazil"
"155",2,363,1,"AK","Chile"
"156",2,364,2,"AK","Colombia"
"157",2,370,1,"AK","Peru"
"158",2,407,2,"AK","Cameroon"
"159",2,416,4,"AK","Ethiopia"
"160",2,448,4,"AK","Somalia"
"161",2,462,2,"AK","Africa"
"162",2,501,3,"AK","Australia"
"163",2,512,2,"AK","Micronesia"
"164",4,102,10,"AZ","Austria"
"165",4,103,4,"AZ","Belgium"
"166",4,104,13,"AZ","Bulgaria"
"167",4,105,3,"AZ","Czechoslovakia"
"168",4,106,9,"AZ","Denmark"
"169",4,108,2,"AZ","Finland"
"170",4,109,28,"AZ","France"
"171",4,110,171,"AZ","Germany"
"172",4,116,11,"AZ","Greece"
"173",4,117,25,"AZ","Hungary"
"174",4,119,25,"AZ","Ireland"
"175",4,120,39,"AZ","Italy"
"176",4,126,31,"AZ","Netherlands"
"177",4,127,2,"AZ","Norway"
"178",4,128,55,"AZ","Poland"
"179",4,129,13,"AZ","Portugal"
"180",4,132,47,"AZ","Romania"
"181",4,134,15,"AZ","Spain"
"182",4,136,11,"AZ","Sweden"
"183",4,137,17,"AZ","Switzerland"
"184",4,138,62,"AZ","UnitedKingdom"
"185",4,139,88,"AZ","England"
"186",4,140,21,"AZ","Scotland"
"187",4,147,9,"AZ","Yugoslavia"
"188",4,148,10,"AZ","CzechRepublic"
"189",4,149,2,"AZ","Slovakia"
"190",4,150,24,"AZ","BosniaandHerzegovina"
"191",4,151,7,"AZ","Croatia"
"192",4,152,2,"AZ","Macedonia"
"193",4,154,13,"AZ","Serbia"
"194",4,156,5,"AZ","Latvia"
"195",4,157,6,"AZ","Lithuania"
"196",4,158,3,"AZ","Armenia"
"197",4,159,3,"AZ","Azerbaijan"
"198",4,160,2,"AZ","Belarus"
"199",4,161,1,"AZ","Georgia"
"200",4,162,2,"AZ","Moldova"
"201",4,163,34,"AZ","Russia"
"202",4,164,21,"AZ","Ukraine"
"203",4,165,4,"AZ","USSR"
"204",4,168,1,"AZ","Montenegro"
"205",4,169,6,"AZ","OtherEurope"
"206",4,200,8,"AZ","Afghanistan"
"207",4,202,15,"AZ","Bangladesh"
"208",4,203,2,"AZ","Bhutan"
"209",4,205,14,"AZ","Myanmar"
"210",4,206,22,"AZ","Cambodia"
"211",4,207,148,"AZ","China"
"212",4,208,3,"AZ","Cyprus"
"213",4,209,22,"AZ","HongKong"
"214",4,210,289,"AZ","India"
"215",4,211,15,"AZ","Indonesia"
"216",4,212,33,"AZ","Iran"
"217",4,213,72,"AZ","Iraq"
"218",4,214,19,"AZ","Israel"
"219",4,215,72,"AZ","Japan"
"220",4,216,13,"AZ","Jordan"
"221",4,217,122,"AZ","Korea"
"222",4,218,9,"AZ","Kazakhstan"
"223",4,222,10,"AZ","Kuwait"
"224",4,223,15,"AZ","Laos"
"225",4,224,14,"AZ","Lebanon"
"226",4,226,14,"AZ","Malaysia"
"227",4,229,11,"AZ","Nepal"
"228",4,231,14,"AZ","Pakistan"
"229",4,233,287,"AZ","Philippines"
"230",4,235,13,"AZ","SaudiArabia"
"231",4,236,7,"AZ","Singapore"
"232",4,238,2,"AZ","SriLanka"
"233",4,239,19,"AZ","Syria"
"234",4,240,46,"AZ","Taiwan"
"235",4,242,38,"AZ","Thailand"
"236",4,243,11,"AZ","Turkey"
"237",4,245,1,"AZ","UnitedArabEmirates"
"238",4,246,15,"AZ","Uzbekistan"
"239",4,247,162,"AZ","Vietnam"
"240",4,248,2,"AZ","Yemen"
"241",4,249,13,"AZ","Asia"
"242",4,254,3,"AZ","OtherAsia"
"243",4,300,1,"AZ","Bermuda"
"244",4,301,507,"AZ","Canada"
"245",4,303,4095,"AZ","Mexico"
"246",4,310,4,"AZ","Belize"
"247",4,311,6,"AZ","CostaRica"
"248",4,312,67,"AZ","ElSalvador"
"249",4,313,123,"AZ","Guatemala"
"250",4,314,40,"AZ","Honduras"
"251",4,315,12,"AZ","Nicaragua"
"252",4,316,13,"AZ","Panama"
"253",4,324,4,"AZ","Barbados"
"254",4,327,53,"AZ","Cuba"
"255",4,329,12,"AZ","DominicanRepublic"
"256",4,332,1,"AZ","Haiti"
"257",4,333,13,"AZ","Jamaica"
"258",4,341,5,"AZ","Trinidad"
"259",4,343,3,"AZ","WestIndies"
"260",4,360,14,"AZ","Argentina"
"261",4,361,6,"AZ","Bolivia"
"262",4,362,28,"AZ","Brazil"
"263",4,363,6,"AZ","Chile"
"264",4,364,42,"AZ","Colombia"
"265",4,365,15,"AZ","Ecuador"
"266",4,368,3,"AZ","Guyana"
"267",4,370,33,"AZ","Peru"
"268",4,372,7,"AZ","Uruguay"
"269",4,373,7,"AZ","Venezuela"
"270",4,399,2,"AZ","Americas"
"271",4,400,3,"AZ","Algeria"
"272",4,407,12,"AZ","Cameroon"
"273",4,412,2,"AZ","Congo"
"274",4,414,15,"AZ","Egypt"
"275",4,416,27,"AZ","Ethiopia"
"276",4,417,7,"AZ","Eritrea"
"277",4,421,3,"AZ","Ghana"
"278",4,427,16,"AZ","Kenya"
"279",4,429,1,"AZ","Liberia"
"280",4,430,3,"AZ","Libya"
"281",4,436,7,"AZ","Morocco"
"282",4,440,17,"AZ","Nigeria"
"283",4,447,3,"AZ","SierraLeone"
"284",4,448,13,"AZ","Somalia"
"285",4,449,24,"AZ","SouthAfrica"
"286",4,451,18,"AZ","Sudan"
"287",4,453,2,"AZ","Tanzania"
"288",4,457,2,"AZ","Uganda"
"289",4,460,5,"AZ","Zambia"
"290",4,461,3,"AZ","Zimbabwe"
"291",4,462,15,"AZ","Africa"
"292",4,463,17,"AZ","EasternAfrica"
"293",4,464,1,"AZ","NorthernAfrica"
"294",4,467,3,"AZ","WesternAfrica"
"295",4,468,8,"AZ","OtherAfrica"
"296",4,501,18,"AZ","Australia"
"297",4,508,3,"AZ","Fiji"
"298",4,511,2,"AZ","MarshallIslands"
"299",4,512,2,"AZ","Micronesia"
"300",4,515,8,"AZ","NewZealand"
"301",4,527,1,"AZ","Samoa"
"302",5,100,1,"AR","Albania"
"303",5,102,2,"AR","Austria"
"304",5,103,1,"AR","Belgium"
"305",5,104,2,"AR","Bulgaria"
"306",5,105,1,"AR","Czechoslovakia"
"307",5,109,2,"AR","France"
"308",5,110,24,"AR","Germany"
"309",5,120,2,"AR","Italy"
"310",5,126,1,"AR","Netherlands"
"311",5,127,2,"AR","Norway"
"312",5,128,1,"AR","Poland"
"313",5,129,1,"AR","Portugal"
"314",5,132,1,"AR","Romania"
"315",5,134,3,"AR","Spain"
"316",5,136,1,"AR","Sweden"
"317",5,138,14,"AR","UnitedKingdom"
"318",5,139,13,"AR","England"
"319",5,140,3,"AR","Scotland"
"320",5,148,4,"AR","CzechRepublic"
"321",5,149,1,"AR","Slovakia"
"322",5,152,1,"AR","Macedonia"
"323",5,154,3,"AR","Serbia"
"324",5,163,4,"AR","Russia"
"325",5,164,4,"AR","Ukraine"
"326",5,165,1,"AR","USSR"
"327",5,169,1,"AR","OtherEurope"
"328",5,202,2,"AR","Bangladesh"
"329",5,205,1,"AR","Myanmar"
"330",5,206,3,"AR","Cambodia"
"331",5,207,41,"AR","China"
"332",5,209,1,"AR","HongKong"
"333",5,210,63,"AR","India"
"334",5,211,3,"AR","Indonesia"
"335",5,212,9,"AR","Iran"
"336",5,213,2,"AR","Iraq"
"337",5,215,7,"AR","Japan"
"338",5,217,13,"AR","Korea"
"339",5,218,4,"AR","Kazakhstan"
"340",5,222,1,"AR","Kuwait"
"341",5,223,22,"AR","Laos"
"342",5,224,1,"AR","Lebanon"
"343",5,226,4,"AR","Malaysia"
"344",5,231,7,"AR","Pakistan"
"345",5,233,35,"AR","Philippines"
"346",5,235,6,"AR","SaudiArabia"
"347",5,239,1,"AR","Syria"
"348",5,240,3,"AR","Taiwan"
"349",5,242,8,"AR","Thailand"
"350",5,246,3,"AR","Uzbekistan"
"351",5,247,32,"AR","Vietnam"
"352",5,248,2,"AR","Yemen"
"353",5,301,26,"AR","Canada"
"354",5,303,386,"AR","Mexico"
"355",5,312,53,"AR","ElSalvador"
"356",5,313,18,"AR","Guatemala"
"357",5,314,12,"AR","Honduras"
"358",5,315,11,"AR","Nicaragua"
"359",5,316,4,"AR","Panama"
"360",5,327,4,"AR","Cuba"
"361",5,329,2,"AR","DominicanRepublic"
"362",5,332,1,"AR","Haiti"
"363",5,341,1,"AR","Trinidad"
"364",5,360,3,"AR","Argentina"
"365",5,361,1,"AR","Bolivia"
"366",5,362,3,"AR","Brazil"
"367",5,364,6,"AR","Colombia"
"368",5,365,3,"AR","Ecuador"
"369",5,373,3,"AR","Venezuela"
"370",5,414,1,"AR","Egypt"
"371",5,416,5,"AR","Ethiopia"
"372",5,420,1,"AR","Gambia"
"373",5,427,1,"AR","Kenya"
"374",5,440,4,"AR","Nigeria"
"375",5,444,1,"AR","Senegal"
"376",5,449,4,"AR","SouthAfrica"
"377",5,459,1,"AR","DemocraticRepublicofCongo"
"378",5,460,1,"AR","Zambia"
"379",5,461,1,"AR","Zimbabwe"
"380",5,463,6,"AR","EasternAfrica"
"381",5,468,1,"AR","OtherAfrica"
"382",5,511,2,"AR","MarshallIslands"
"383",5,515,1,"AR","NewZealand"
"384",6,100,11,"CA","Albania"
"385",6,102,94,"CA","Austria"
"386",6,103,51,"CA","Belgium"
"387",6,104,76,"CA","Bulgaria"
"388",6,105,32,"CA","Czechoslovakia"
"389",6,106,86,"CA","Denmark"
"390",6,108,39,"CA","Finland"
"391",6,109,377,"CA","France"
"392",6,110,952,"CA","Germany"
"393",6,116,130,"CA","Greece"
"394",6,117,137,"CA","Hungary"
"395",6,118,6,"CA","Iceland"
"396",6,119,192,"CA","Ireland"
"397",6,120,373,"CA","Italy"
"398",6,126,229,"CA","Netherlands"
"399",6,127,58,"CA","Norway"
"400",6,128,225,"CA","Poland"
"401",6,129,237,"CA","Portugal"
"402",6,130,54,"CA","AzoresIslands"
"403",6,132,236,"CA","Romania"
"404",6,134,148,"CA","Spain"
"405",6,136,125,"CA","Sweden"
"406",6,137,100,"CA","Switzerland"
"407",6,138,644,"CA","UnitedKingdom"
"408",6,139,702,"CA","England"
"409",6,140,116,"CA","Scotland"
"410",6,147,47,"CA","Yugoslavia"
"411",6,148,70,"CA","CzechRepublic"
"412",6,149,7,"CA","Slovakia"
"413",6,150,59,"CA","BosniaandHerzegovina"
"414",6,151,45,"CA","Croatia"
"415",6,152,6,"CA","Macedonia"
"416",6,154,46,"CA","Serbia"
"417",6,156,35,"CA","Latvia"
"418",6,157,38,"CA","Lithuania"
"419",6,158,528,"CA","Armenia"
"420",6,159,59,"CA","Azerbaijan"
"421",6,160,59,"CA","Belarus"
"422",6,161,26,"CA","Georgia"
"423",6,162,71,"CA","Moldova"
"424",6,163,600,"CA","Russia"
"425",6,164,496,"CA","Ukraine"
"426",6,165,75,"CA","USSR"
"427",6,168,3,"CA","Montenegro"
"428",6,169,88,"CA","OtherEurope"
"429",6,200,210,"CA","Afghanistan"
"430",6,202,144,"CA","Bangladesh"
"431",6,203,2,"CA","Bhutan"
"432",6,205,271,"CA","Myanmar"
"433",6,206,587,"CA","Cambodia"
"434",6,207,5713,"CA","China"
"435",6,208,11,"CA","Cyprus"
"436",6,209,1111,"CA","HongKong"
"437",6,210,3893,"CA","India"
"438",6,211,417,"CA","Indonesia"
"439",6,212,1751,"CA","Iran"
"440",6,213,362,"CA","Iraq"
"441",6,214,307,"CA","Israel"
"442",6,215,1144,"CA","Japan"
"443",6,216,89,"CA","Jordan"
"444",6,217,3162,"CA","Korea"
"445",6,218,37,"CA","Kazakhstan"
"446",6,222,44,"CA","Kuwait"
"447",6,223,547,"CA","Laos"
"448",6,224,310,"CA","Lebanon"
"449",6,226,177,"CA","Malaysia"
"450",6,229,80,"CA","Nepal"
"451",6,231,428,"CA","Pakistan"
"452",6,233,8559,"CA","Philippines"
"453",6,235,80,"CA","SaudiArabia"
"454",6,236,97,"CA","Singapore"
"455",6,238,138,"CA","SriLanka"
"456",6,239,222,"CA","Syria"
"457",6,240,1793,"CA","Taiwan"
"458",6,242,611,"CA","Thailand"
"459",6,243,163,"CA","Turkey"
"460",6,245,29,"CA","UnitedArabEmirates"
"461",6,246,53,"CA","Uzbekistan"
"462",6,247,5557,"CA","Vietnam"
"463",6,248,65,"CA","Yemen"
"464",6,249,70,"CA","Asia"
"465",6,253,17,"CA","SouthCentralAsia"
"466",6,254,36,"CA","OtherAsia"
"467",6,300,8,"CA","Bermuda"
"468",6,301,1482,"CA","Canada"
"469",6,303,37077,"CA","Mexico"
"470",6,310,203,"CA","Belize"
"471",6,311,121,"CA","CostaRica"
"472",6,312,3823,"CA","ElSalvador"
"473",6,313,2398,"CA","Guatemala"
"474",6,314,575,"CA","Honduras"
"475",6,315,600,"CA","Nicaragua"
"476",6,316,101,"CA","Panama"
"477",6,321,1,"CA","Antigua"
"478",6,323,5,"CA","Bahamas"
"479",6,324,17,"CA","Barbados"
"480",6,327,364,"CA","Cuba"
"481",6,328,3,"CA","Dominica"
"482",6,329,55,"CA","DominicanRepublic"
"483",6,330,5,"CA","Grenada"
"484",6,332,29,"CA","Haiti"
"485",6,333,131,"CA","Jamaica"
"486",6,339,5,"CA","St.Lucia"
"487",6,340,8,"CA","St.Vincent"
"488",6,341,87,"CA","Trinidad"
"489",6,343,5,"CA","WestIndies"
"490",6,344,5,"CA","Caribbean"
"491",6,360,312,"CA","Argentina"
"492",6,361,87,"CA","Bolivia"
"493",6,362,320,"CA","Brazil"
"494",6,363,181,"CA","Chile"
"495",6,364,379,"CA","Colombia"
"496",6,365,241,"CA","Ecuador"
"497",6,368,39,"CA","Guyana"
"498",6,369,21,"CA","Paraguay"
"499",6,370,688,"CA","Peru"
"500",6,372,24,"CA","Uruguay"
"501",6,373,86,"CA","Venezuela"
"502",6,374,23,"CA","SouthAmerica"
"503",6,399,19,"CA","Americas"
"504",6,400,34,"CA","Algeria"
"505",6,407,19,"CA","Cameroon"
"506",6,412,6,"CA","Congo"
"507",6,414,382,"CA","Egypt"
"508",6,416,165,"CA","Ethiopia"
"509",6,417,34,"CA","Eritrea"
"510",6,420,1,"CA","Gambia"
"511",6,421,52,"CA","Ghana"
"512",6,427,118,"CA","Kenya"
"513",6,429,18,"CA","Liberia"
"514",6,430,18,"CA","Libya"
"515",6,436,68,"CA","Morocco"
"516",6,440,192,"CA","Nigeria"
"517",6,444,4,"CA","Senegal"
"518",6,447,16,"CA","SierraLeone"
"519",6,448,29,"CA","Somalia"
"520",6,449,199,"CA","SouthAfrica"
"521",6,451,23,"CA","Sudan"
"522",6,453,20,"CA","Tanzania"
"523",6,457,25,"CA","Uganda"
"524",6,459,3,"CA","DemocraticRepublicofCongo"
"525",6,460,12,"CA","Zambia"
"526",6,461,12,"CA","Zimbabwe"
"527",6,462,53,"CA","Africa"
"528",6,463,20,"CA","EasternAfrica"
"529",6,464,14,"CA","NorthernAfrica"
"530",6,467,19,"CA","WesternAfrica"
"531",6,468,14,"CA","OtherAfrica"
"532",6,501,205,"CA","Australia"
"533",6,508,303,"CA","Fiji"
"534",6,511,17,"CA","MarshallIslands"
"535",6,512,7,"CA","Micronesia"
"536",6,515,67,"CA","NewZealand"
"537",6,523,75,"CA","Tonga"
"538",6,527,26,"CA","Samoa"
"539",6,554,24,"CA","OtherUSIslandAreas"
"540",8,102,16,"CO","Austria"
"541",8,103,2,"CO","Belgium"
"542",8,104,7,"CO","Bulgaria"
"543",8,105,7,"CO","Czechoslovakia"
"544",8,106,6,"CO","Denmark"
"545",8,108,4,"CO","Finland"
"546",8,109,35,"CO","France"
"547",8,110,200,"CO","Germany"
"548",8,116,1,"CO","Greece"
"549",8,117,21,"CO","Hungary"
"550",8,119,13,"CO","Ireland"
"551",8,120,15,"CO","Italy"
"552",8,126,22,"CO","Netherlands"
"553",8,127,3,"CO","Norway"
"554",8,128,32,"CO","Poland"
"555",8,129,1,"CO","Portugal"
"556",8,132,19,"CO","Romania"
"557",8,134,8,"CO","Spain"
"558",8,136,8,"CO","Sweden"
"559",8,137,15,"CO","Switzerland"
"560",8,138,65,"CO","UnitedKingdom"
"561",8,139,64,"CO","England"
"562",8,140,8,"CO","Scotland"
"563",8,147,8,"CO","Yugoslavia"
"564",8,148,4,"CO","CzechRepublic"
"565",8,149,4,"CO","Slovakia"
"566",8,150,8,"CO","BosniaandHerzegovina"
"567",8,151,6,"CO","Croatia"
"568",8,152,1,"CO","Macedonia"
"569",8,154,2,"CO","Serbia"
"570",8,156,4,"CO","Latvia"
"571",8,157,3,"CO","Lithuania"
"572",8,158,9,"CO","Armenia"
"573",8,160,8,"CO","Belarus"
"574",8,161,1,"CO","Georgia"
"575",8,162,6,"CO","Moldova"
"576",8,163,71,"CO","Russia"
"577",8,164,47,"CO","Ukraine"
"578",8,165,12,"CO","USSR"
"579",8,169,4,"CO","OtherEurope"
"580",8,200,8,"CO","Afghanistan"
"581",8,202,2,"CO","Bangladesh"
"582",8,203,5,"CO","Bhutan"
"583",8,206,20,"CO","Cambodia"
"584",8,207,127,"CO","China"
"585",8,209,7,"CO","HongKong"
"586",8,210,129,"CO","India"
"587",8,211,10,"CO","Indonesia"
"588",8,212,34,"CO","Iran"
"589",8,213,23,"CO","Iraq"
"590",8,214,13,"CO","Israel"
"591",8,215,41,"CO","Japan"
"592",8,216,1,"CO","Jordan"
"593",8,217,149,"CO","Korea"
"594",8,218,15,"CO","Kazakhstan"
"595",8,222,3,"CO","Kuwait"
"596",8,223,31,"CO","Laos"
"597",8,224,5,"CO","Lebanon"
"598",8,226,6,"CO","Malaysia"
"599",8,229,30,"CO","Nepal"
"600",8,231,21,"CO","Pakistan"
"601",8,233,85,"CO","Philippines"
"602",8,235,8,"CO","SaudiArabia"
"603",8,236,5,"CO","Singapore"
"604",8,238,1,"CO","SriLanka"
"605",8,239,2,"CO","Syria"
"606",8,240,23,"CO","Taiwan"
"607",8,242,21,"CO","Thailand"
"608",8,243,10,"CO","Turkey"
"609",8,245,2,"CO","UnitedArabEmirates"
"610",8,246,9,"CO","Uzbekistan"
"611",8,247,174,"CO","Vietnam"
"612",8,248,2,"CO","Yemen"
"613",8,249,2,"CO","Asia"
"614",8,253,5,"CO","SouthCentralAsia"
"615",8,254,8,"CO","OtherAsia"
"616",8,300,1,"CO","Bermuda"
"617",8,301,193,"CO","Canada"
"618",8,303,1559,"CO","Mexico"
"619",8,311,8,"CO","CostaRica"
"620",8,312,55,"CO","ElSalvador"
"621",8,313,39,"CO","Guatemala"
"622",8,314,25,"CO","Honduras"
"623",8,315,14,"CO","Nicaragua"
"624",8,316,7,"CO","Panama"
"625",8,324,1,"CO","Barbados"
"626",8,327,14,"CO","Cuba"
"627",8,329,10,"CO","DominicanRepublic"
"628",8,332,7,"CO","Haiti"
"629",8,333,8,"CO","Jamaica"
"630",8,339,1,"CO","St.Lucia"
"631",8,341,3,"CO","Trinidad"
"632",8,343,3,"CO","WestIndies"
"633",8,360,15,"CO","Argentina"
"634",8,361,5,"CO","Bolivia"
"635",8,362,27,"CO","Brazil"
"636",8,363,14,"CO","Chile"
"637",8,364,52,"CO","Colombia"
"638",8,365,14,"CO","Ecuador"
"639",8,368,1,"CO","Guyana"
"640",8,369,1,"CO","Paraguay"
"641",8,370,37,"CO","Peru"
"642",8,373,14,"CO","Venezuela"
"643",8,374,1,"CO","SouthAmerica"
"644",8,399,1,"CO","Americas"
"645",8,400,6,"CO","Algeria"
"646",8,412,1,"CO","Congo"
"647",8,414,5,"CO","Egypt"
"648",8,416,47,"CO","Ethiopia"
"649",8,417,7,"CO","Eritrea"
"650",8,421,11,"CO","Ghana"
"651",8,423,7,"CO","Guinea"
"652",8,427,12,"CO","Kenya"
"653",8,429,5,"CO","Liberia"
"654",8,430,14,"CO","Libya"
"655",8,436,2,"CO","Morocco"
"656",8,440,6,"CO","Nigeria"
"657",8,444,2,"CO","Senegal"
"658",8,447,3,"CO","SierraLeone"
"659",8,448,8,"CO","Somalia"
"660",8,449,27,"CO","SouthAfrica"
"661",8,451,8,"CO","Sudan"
"662",8,454,4,"CO","Togo"
"663",8,457,3,"CO","Uganda"
"664",8,459,2,"CO","DemocraticRepublicofCongo"
"665",8,460,2,"CO","Zambia"
"666",8,461,2,"CO","Zimbabwe"
"667",8,462,13,"CO","Africa"
"668",8,463,6,"CO","EasternAfrica"
"669",8,464,3,"CO","NorthernAfrica"
"670",8,467,7,"CO","WesternAfrica"
"671",8,468,2,"CO","OtherAfrica"
"672",8,501,22,"CO","Australia"
"673",8,508,1,"CO","Fiji"
"674",8,512,1,"CO","Micronesia"
"675",8,515,7,"CO","NewZealand"
"676",8,523,1,"CO","Tonga"
"677",9,100,54,"CT","Albania"
"678",9,102,7,"CT","Austria"
"679",9,103,10,"CT","Belgium"
"680",9,104,7,"CT","Bulgaria"
"681",9,105,2,"CT","Czechoslovakia"
"682",9,106,3,"CT","Denmark"
"683",9,108,4,"CT","Finland"
"684",9,109,35,"CT","France"
"685",9,110,118,"CT","Germany"
"686",9,116,37,"CT","Greece"
"687",9,117,18,"CT","Hungary"
"688",9,118,1,"CT","Iceland"
"689",9,119,53,"CT","Ireland"
"690",9,120,180,"CT","Italy"
"691",9,126,25,"CT","Netherlands"
"692",9,127,8,"CT","Norway"
"693",9,128,268,"CT","Poland"
"694",9,129,121,"CT","Portugal"
"695",9,130,5,"CT","AzoresIslands"
"696",9,132,48,"CT","Romania"
"697",9,134,6,"CT","Spain"
"698",9,136,11,"CT","Sweden"
"699",9,137,12,"CT","Switzerland"
"700",9,138,80,"CT","UnitedKingdom"
"701",9,139,85,"CT","England"
"702",9,140,18,"CT","Scotland"
"703",9,147,5,"CT","Yugoslavia"
"704",9,148,5,"CT","CzechRepublic"
"705",9,149,9,"CT","Slovakia"
"706",9,150,21,"CT","BosniaandHerzegovina"
