"","ST","POBP","count","location","country"
"1",1,102,7,"AL","Austria"
"2",1,103,1,"AL","Belgium"
"3",1,104,2,"AL","Bulgaria"
"4",1,105,1,"AL","Czechoslovakia"
"5",1,109,6,"AL","France"
"6",1,110,68,"AL","Germany"
"7",1,116,8,"AL","Greece"
"8",1,117,1,"AL","Hungary"
"9",1,118,1,"AL","Iceland"
"10",1,120,6,"AL","Italy"
"11",1,126,4,"AL","Netherlands"
"12",1,127,1,"AL","Norway"
"13",1,128,10,"AL","Poland"
"14",1,129,1,"AL","Portugal"
"15",1,132,4,"AL","Romania"
"16",1,134,3,"AL","Spain"
"17",1,137,1,"AL","Switzerland"
"18",1,138,11,"AL","UnitedKingdom"
"19",1,139,31,"AL","England"
"20",1,140,3,"AL","Scotland"
"21",1,148,1,"AL","CzechRepublic"
"22",1,151,1,"AL","Croatia"
"23",1,156,3,"AL","Latvia"
"24",1,157,1,"AL","Lithuania"
"25",1,162,1,"AL","Moldova"
"26",1,163,21,"AL","Russia"
"27",1,164,9,"AL","Ukraine"
"28",1,202,11,"AL","Bangladesh"
"29",1,205,1,"AL","Myanmar"
"30",1,206,1,"AL","Cambodia"
"31",1,207,89,"AL","China"
"32",1,209,1,"AL","HongKong"
"33",1,210,80,"AL","India"
"34",1,211,4,"AL","Indonesia"
"35",1,212,6,"AL","Iran"
"36",1,213,1,"AL","Iraq"
"37",1,214,1,"AL","Israel"
"38",1,215,8,"AL","Japan"
"39",1,216,1,"AL","Jordan"
"40",1,217,52,"AL","Korea"
"41",1,222,1,"AL","Kuwait"
"42",1,223,4,"AL","Laos"
"43",1,224,6,"AL","Lebanon"
"44",1,226,3,"AL","Malaysia"
"45",1,229,1,"AL","Nepal"
"46",1,231,12,"AL","Pakistan"
"47",1,233,47,"AL","Philippines"
"48",1,235,3,"AL","SaudiArabia"
"49",1,236,1,"AL","Singapore"
"50",1,240,6,"AL","Taiwan"
"51",1,242,11,"AL","Thailand"
"52",1,243,4,"AL","Turkey"
"53",1,247,48,"AL","Vietnam"
"54",1,248,2,"AL","Yemen"
"55",1,249,2,"AL","Asia"
"56",1,253,2,"AL","SouthCentralAsia"
"57",1,301,35,"AL","Canada"
"58",1,303,291,"AL","Mexico"
"59",1,310,2,"AL","Belize"
"60",1,311,8,"AL","CostaRica"
"61",1,312,4,"AL","ElSalvador"
"62",1,313,44,"AL","Guatemala"
"63",1,314,12,"AL","Honduras"
"64",1,315,5,"AL","Nicaragua"
"65",1,316,13,"AL","Panama"
"66",1,323,6,"AL","Bahamas"
"67",1,324,2,"AL","Barbados"
"68",1,327,7,"AL","Cuba"
"69",1,328,2,"AL","Dominica"
"70",1,329,4,"AL","DominicanRepublic"
"71",1,332,6,"AL","Haiti"
"72",1,333,19,"AL","Jamaica"
"73",1,340,4,"AL","St.Vincent"
"74",1,341,7,"AL","Trinidad"
"75",1,343,1,"AL","WestIndies"
"76",1,344,2,"AL","Caribbean"
"77",1,360,3,"AL","Argentina"
"78",1,361,1,"AL","Bolivia"
"79",1,362,8,"AL","Brazil"
"80",1,364,20,"AL","Colombia"
"81",1,365,1,"AL","Ecuador"
"82",1,368,4,"AL","Guyana"
"83",1,370,4,"AL","Peru"
"84",1,372,1,"AL","Uruguay"
"85",1,373,9,"AL","Venezuela"
"86",1,374,2,"AL","SouthAmerica"
"87",1,400,1,"AL","Algeria"
"88",1,414,7,"AL","Egypt"
"89",1,420,2,"AL","Gambia"
"90",1,427,7,"AL","Kenya"
"91",1,429,9,"AL","Liberia"
"92",1,436,5,"AL","Morocco"
"93",1,440,9,"AL","Nigeria"
"94",1,447,2,"AL","SierraLeone"
"95",1,449,2,"AL","SouthAfrica"
"96",1,451,3,"AL","Sudan"
"97",1,453,4,"AL","Tanzania"
"98",1,454,1,"AL","Togo"
"99",1,459,1,"AL","DemocraticRepublicofCongo"
"100",1,460,2,"AL","Zambia"
"101",1,462,5,"AL","Africa"
"102",1,463,1,"AL","EasternAfrica"
"103",1,464,1,"AL","NorthernAfrica"
"104",1,467,1,"AL","WesternAfrica"
"105",1,501,5,"AL","Australia"
"106",1,508,2,"AL","Fiji"
"107",1,511,2,"AL","MarshallIslands"
"108",2,102,2,"AK","Austria"
"109",2,106,1,"AK","Denmark"
"110",2,108,2,"AK","Finland"
"111",2,109,4,"AK","France"
"112",2,110,13,"AK","Germany"
