"","POBP","count"
"1","Alabama",84766
"2","Alaska",10104
"3","Arizona",61182
"4","Arkansas",47214
"5","California",449384
"6","Colorado",56580
"7","Connecticut",53418
"8","Delaware",10542
"9","DistrictofColumbia",19648
"10","Florida",155700
"11","Georgia",129084
"12","Hawaii",21292
"13","Idaho",18694
"14","Illinois",232328
"15","Indiana",118412
"16","Iowa",65554
"17","Kansas",47336
"18","Kentucky",78130
"19","Louisiana",82306
"20","Maine",21976
"21","Maryland",67690
"22","Massachusetts",110124
"23","Michigan",191550
"24","Minnesota",94864
"25","Mississippi",57784
"26","Missouri",26782
"27","Montana",3908
"28","Nebraska",11318
"29","Nevada",3980
"30","NewHampshire",4990
"31","NewJersey",29520
"32","NewMexico",7556
"33","NewYork",89544
"34","NorthCarolina",15988
"35","NorthDakota",6566
"36","Ohio",47882
"37","Oklahoma",12990
"38","Oregon",8824
"39","Pennsylvania",44022
"40","RhodeIsland",6740
"41","SouthCarolina",10574
"42","SouthDakota",5902
"43","Tennessee",21868
"44","Texas",41802
"45","Utah",7936
"46","Vermont",2430
"47","Virginia",19332
"48","Washington",15302
"49","WestVirginia",8454
"50","Wisconsin",22006
"51","Wyoming",2906
"52","AmericanSamoa",310
"53","Guam",928
"54","CommonwealthoftheNorthernMarianaIslands",94
"55","PuertoRico",13338
"56","USVirginIslands",640
"57","Albania",656
"58","Austria",614
"59","Belgium",482
"60","Bulgaria",696
"61","Czechoslovakia",240
"62","Denmark",414
"63","Finland",304
"64","France",2774
"65","Germany",12660
"66","Greece",1478
"67","Hungary",814
"68","Iceland",110
"69","Ireland",1568
"70","Italy",3854
"71","Netherlands",1380
"72","Norway",436
"73","Poland",4992
"74","Portugal",2064
"75","AzoresIslands",428
"76","Romania",1766
"77","Spain",1512
"78","Sweden",698
"79","Switzerland",614
"80","UnitedKingdom",4466
"81","England",5264
"82","Scotland",880
"83","Yugoslavia",478
"84","CzechRepublic",404
"85","Slovakia",140
"86","BosniaandHerzegovina",1028
"87","Croatia",404
"88","Macedonia",184
"89","Serbia",438
"90","Latvia",276
"91","Lithuania",460
"92","Armenia",1158
"93","Azerbaijan",230
"94","Belarus",382
"95","Georgia",106
"96","Moldova",312
"97","Russia",3706
"98","Ukraine",2750
"99","USSR",424
"100","Montenegro",100
"101","OtherEurope",542
"102","Afghanistan",624
"103","Bangladesh",1074
"104","Bhutan",244
"105","Myanmar",1142
"106","Cambodia",1982
"107","China",20202
"108","Cyprus",102
"109","HongKong",3094
"110","India",19048
"111","Indonesia",1326
"112","Iran",4816
"113","Iraq",2128
"114","Israel",1498
"115","Japan",6542
"116","Jordan",634
"117","Korea",12286
"118","Kazakhstan",234
"119","Kuwait",246
"120","Laos",2114
"121","Lebanon",1628
"122","Malaysia",700
"123","Nepal",698
"124","Pakistan",2704
"125","Philippines",27496
"126","SaudiArabia",618
"127","Singapore",440
"128","SriLanka",558
"129","Syria",884
"130","Taiwan",5158
"131","Thailand",2772
"132","Turkey",1032
"133","UnitedArabEmirates",158
"134","Uzbekistan",294
"135","Vietnam",16990
"136","Yemen",432
"137","Asia",446
"138","SouthCentralAsia",108
"139","OtherAsia",198
"140","Bermuda",166
"141","Canada",12764
"142","Mexico",114104
"143","Belize",670
"144","CostaRica",768
"145","ElSalvador",11716
"146","Guatemala",8784
"147","Honduras",4048
"148","Nicaragua",3400
"149","Panama",1398
"150","Antigua",134
"151","Bahamas",570
"152","Barbados",314
"153","Cuba",17490
"154","Dominica",214
"155","DominicanRepublic",4276
"156","Grenada",158
"157","Haiti",6150
"158","Jamaica",6306
"159","St.Lucia",104
"160","St.Vincent",96
"161","Trinidad",1690
"162","WestIndies",166
"163","Caribbean",312
"164","Argentina",1950
"165","Bolivia",596
"166","Brazil",4004
"167","Chile",1106
"168","Colombia",6988
"169","Ecuador",2378
"170","Guyana",1196
"171","Paraguay",178
"172","Peru",4322
"173","Uruguay",460
"174","Venezuela",2440
"175","SouthAmerica",126
"176","Americas",132
"177","Algeria",194
"178","Cameroon",442
"179","CapeVerde",416
"180","Congo",92
"181","Egypt",1552
"182","Ethiopia",1656
"183","Eritrea",220
"184","Gambia",42
"185","Ghana",1026
"186","Guinea",84
"187","Kenya",972
"188","Liberia",486
"189","Libya",150
"190","Morocco",690
"191","Nigeria",2022
"192","Senegal",134
"193","SierraLeone",238
"194","Somalia",486
"195","SouthAfrica",1324
"196","Sudan",282
"197","Tanzania",184
"198","Togo",162
"199","Uganda",250
"200","DemocraticRepublicofCongo",170
"201","Zambia",150
"202","Zimbabwe",206
"203","Africa",688
"204","EasternAfrica",342
"205","NorthernAfrica",126
"206","WesternAfrica",300
"207","OtherAfrica",178
"208","Australia",1096
"209","Fiji",652
"210","MarshallIslands",168
"211","Micronesia",216
"212","NewZealand",390
"213","Tonga",180
"214","Samoa",132
"215","OtherUSIslandAreas",142
